ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z;R;G;B;R7;G7;B7
LimbicB_OFC_3;LimbicB;9;Limbic;5;RH;3.92491323931517;54.7633465475385;-34.8830956686980;0.49412;0.52941;0.21176;224;249;167
LimbicB_OFC_4;LimbicB;9;Limbic;5;RH;13.3244289749872;83.9322283226762;-28.0162575403929;0.49412;0.52941;0.21569;224;249;168
LimbicA_TempPole_1;LimbicA;10;Limbic;5;RH;28.3677356055012;27.6374127929778;-57.7598602412489;0.87843;0.97255;0.65098;224;249;169
LimbicA_TempPole_2;LimbicA;10;Limbic;5;RH;48.3255296263662;6.14253117562807;-54.9890226797497;0.87843;0.97255;0.6549;224;249;170
LimbicA_TempPole_3;LimbicA;10;Limbic;5;RH;26.1085369579424;6.15913703142934;-52.0015412501723;0.87843;0.97255;0.65882;224;249;165
LimbicA_TempPole_4;LimbicA;10;Limbic;5;RH;38.1706121203868;-16.3605579239788;-43.4883627051523;0.87843;0.97255;0.66275;224;249;166
ContA_IPS_1;ContA;11;Cont;6;RH;34.3640477445564;-41.7332902804661;25.3556762555508;0.91765;0.57647;0.13725;234;147;35
ContA_IPS_2;ContA;11;Cont;6;RH;48.0179538167770;-12.3810341129837;23.5975989617917;0.91765;0.57647;0.14118;234;147;36
ContA_PFCd_1;ContA;11;Cont;6;RH;24.6839354434431;25.0092267817759;34.8332042530378;0.91765;0.57647;0.13333;234;147;37
ContA_PFCl_1;ContA;11;Cont;6;RH;52.4433748439331;30.4586950762616;-0.115958153652841;0.91373;0.58039;0.13725;234;147;34
ContA_PFCl_2;ContA;11;Cont;6;RH;42.0639456235602;41.4632386395609;3.61956795372004;0.91373;0.58039;0.14118;233;148;35
ContA_Cingm_1;ContA;11;Cont;6;RH;3.72384857347654;22.8051071406714;9.63064632232492;0.91373;0.58039;0.13333;233;148;31
ContB_Temp_1;ContB;12;Cont;6;RH;60.4309798610908;4.28080518658857;-39.6256152339359;0.54902;0.2;0.29804;233;148;32
ContB_Temp_2;ContB;12;Cont;6;RH;62.2127075851045;-24.6322983825845;-30.2157126893030;0.54902;0.2;0.30196;233;148;34
ContB_IPL_1;ContB;12;Cont;6;RH;46.8980142201514;-39.8910495300753;28.8715847148178;0.5451;0.19608;0.2902;233;148;36
ContB_IPL_2;ContB;12;Cont;6;RH;50.5694027917473;-21.1804827960449;30.8237538270809;0.5451;0.19608;0.29412;233;148;37
ContB_PFCld_1;ContB;12;Cont;6;RH;44.9568366452177;46.4355362147295;16.6605010092439;0.5451;0.19216;0.29412;233;148;38
ContB_PFCld_2;ContB;12;Cont;6;RH;41.2669022458737;30.1949663090305;28.4416613208470;0.5451;0.19216;0.29804;233;148;39
ContB_PFClv_1;ContB;12;Cont;6;RH;34.4162289504630;65.7278254588705;-32.2483117498802;0.5451;0.19216;0.2902;233;147;35
ContB_PFClv_2;ContB;12;Cont;6;RH;28.8091100268951;77.1824316518712;-15.6734602505368;0.5451;0.19216;0.30196;234;148;37
