ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z
SomMotB_Cent_1;RH_SomMotB;8;RH_SomMot;4;RH;57.5670107668404;13.8706194980148;7.53230518727578
DorsAttnA_TempOcc_1;RH_DorsAttnA;10;RH_DorsAttn;6;RH;50.9938844816361;-37.4706761852691;-31.2809904560795
DorsAttnA_ParOcc_1;RH_DorsAttnA;10;RH_DorsAttn;6;RH;51.1382584401871;-39.2534264610075;-4.02085051554332
DorsAttnA_SPL_1;RH_DorsAttnA;10;RH_DorsAttn;6;RH;30.8922371048868;-53.2121360517535;14.1243230603184
DorsAttnA_SPL_2;RH_DorsAttnA;10;RH_DorsAttn;6;RH;14.5134794108401;-54.0440964771445;35.1518770847763
DorsAttnA_SPL_3;RH_DorsAttnA;10;RH_DorsAttn;6;RH;33.9750420662346;-25.8910648706127;28.6335674040741
DorsAttnA_SPL_4;RH_DorsAttnA;10;RH_DorsAttn;6;RH;25.6572118894632;-41.1612747204159;39.9922870726615
DorsAttnB_PostC_1;RH_DorsAttnB;12;RH_DorsAttn;6;RH;61.9750901804244;3.39619789231230;8.82332745537126
DorsAttnB_PostC_2;RH_DorsAttnB;12;RH_DorsAttn;6;RH;42.5453856530254;-8.21004207581733;20.6624773433849
DorsAttnB_PostC_3;RH_DorsAttnB;12;RH_DorsAttn;6;RH;7.38874698697590;-35.0975393026881;39.6232252392303
DorsAttnB_PostC_4;RH_DorsAttnB;12;RH_DorsAttn;6;RH;23.2656227150729;-26.9216312475268;47.9337823140791
DorsAttnB_FEF_1;RH_DorsAttnB;12;RH_DorsAttn;6;RH;36.4815881386610;14.7675503899201;30.8346328889992
SalVentAttnA_ParOper_1;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;59.0510458891879;-7.68534607811333;7.81540826103722
SalVentAttnA_PrC_1;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;51.1169986791848;22.6077287051534;20.6921262377583
SalVentAttnA_Ins_1;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;40.0604772404472;24.2805775769078;-34.6136096436274
SalVentAttnA_Ins_2;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;45.0715626001696;14.4480646092442;-23.5840985521364
SalVentAttnA_FrOper_1;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;42.1838238039706;26.7845979897150;-15.9136332978760
SalVentAttnA_FrMed_1;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;6.20887504824970;28.5036149898001;20.2606726804691
SalVentAttnA_ParMed_1;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;8.27705111279450;6.79165641173397;21.7710591209978
SalVentAttnA_ParMed_2;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;10.5420953125807;-14.8771281762224;26.2649886982415
SalVentAttnA_FrMed_2;RH_SalVentAttnA;14;RH_SalVentAttn;8;RH;8.37870276990935;23.5633818555754;44.7728472681633
SalVentAttnB_IPL_1;RH_SalVentAttnB;16;RH_SalVentAttn;8;RH;61.0211382344045;-18.0562827017948;20.5635515353096
SalVentAttnB_PFClv_1;RH_SalVentAttnB;16;RH_SalVentAttn;8;RH;43.5355023294521;64.2023688037893;-10.4176990932060
SalVentAttnB_PFCl_1;RH_SalVentAttnB;16;RH_SalVentAttn;8;RH;31.5365925061990;66.6122664781623;6.46751817035715
SalVentAttnB_Ins_1;RH_SalVentAttnB;16;RH_SalVentAttn;8;RH;32.0003400786091;41.0171201822669;-27.4986249275796
SalVentAttnB_Ins_2;RH_SalVentAttnB;16;RH_SalVentAttn;8;RH;33.7346722763348;43.1295951798590;-13.6807594892507
SalVentAttnB_PFCmp_1;RH_SalVentAttnB;16;RH_SalVentAttn;8;RH;6.86662339368762;48.3599460311169;9.12069325423862
LimbicB_OFC_1;RH_LimbicB;18;RH_Limbic;10;RH;10.8550671932166;58.2618475544852;-41.7301594265576
LimbicB_OFC_2;RH_LimbicB;18;RH_Limbic;10;RH;27.7482558839134;42.1041524373156;-38.6503927453890
LimbicB_OFC_3;RH_LimbicB;18;RH_Limbic;10;RH;3.92491323931517;54.7633465475385;-34.8830956686980
LimbicB_OFC_4;RH_LimbicB;18;RH_Limbic;10;RH;13.3244289749872;83.9322283226762;-28.0162575403929
LimbicA_TempPole_1;RH_LimbicA;20;RH_Limbic;10;RH;28.3677356055012;27.6374127929778;-57.7598602412489
LimbicA_TempPole_2;RH_LimbicA;20;RH_Limbic;10;RH;48.3255296263662;6.14253117562807;-54.9890226797497
LimbicA_TempPole_3;RH_LimbicA;20;RH_Limbic;10;RH;26.1085369579424;6.15913703142934;-52.0015412501723
LimbicA_TempPole_4;RH_LimbicA;20;RH_Limbic;10;RH;38.1706121203868;-16.3605579239788;-43.4883627051523
ContA_IPS_1;RH_ContA;22;RH_Cont;12;RH;34.3640477445564;-41.7332902804661;25.3556762555508
ContA_IPS_2;RH_ContA;22;RH_Cont;12;RH;48.0179538167770;-12.3810341129837;23.5975989617917
ContA_PFCd_1;RH_ContA;22;RH_Cont;12;RH;24.6839354434431;25.0092267817759;34.8332042530378
ContA_PFCl_1;RH_ContA;22;RH_Cont;12;RH;52.4433748439331;30.4586950762616;-0.115958153652841
ContA_PFCl_2;RH_ContA;22;RH_Cont;12;RH;42.0639456235602;41.4632386395609;3.61956795372004
ContA_Cingm_1;RH_ContA;22;RH_Cont;12;RH;3.72384857347654;22.8051071406714;9.63064632232492
ContB_Temp_1;RH_ContB;24;RH_Cont;12;RH;60.4309798610908;4.28080518658857;-39.6256152339359
ContB_Temp_2;RH_ContB;24;RH_Cont;12;RH;62.2127075851045;-24.6322983825845;-30.2157126893030
ContB_IPL_1;RH_ContB;24;RH_Cont;12;RH;46.8980142201514;-39.8910495300753;28.8715847148178
ContB_IPL_2;RH_ContB;24;RH_Cont;12;RH;50.5694027917473;-21.1804827960449;30.8237538270809
ContB_PFCld_1;RH_ContB;24;RH_Cont;12;RH;44.9568366452177;46.4355362147295;16.6605010092439
ContB_PFCld_2;RH_ContB;24;RH_Cont;12;RH;41.2669022458737;30.1949663090305;28.4416613208470
ContB_PFClv_1;RH_ContB;24;RH_Cont;12;RH;34.4162289504630;65.7278254588705;-32.2483117498802
ContB_PFClv_2;RH_ContB;24;RH_Cont;12;RH;28.8091100268951;77.1824316518712;-15.6734602505368
ContB_PFCmp_1;RH_ContB;24;RH_Cont;12;RH;8.20636611356149;45.3581150547577;34.0090227185157
ContB_PFCld_3;RH_ContB;24;RH_Cont;12;RH;23.1215373702264;42.7972148764479;30.5067448293384
ContC_pCun_1;RH_ContC;26;RH_Cont;12;RH;14.1768171097282;-51.1109256910660;17.1179963320963
ContC_pCun_2;RH_ContC;26;RH_Cont;12;RH;5.45590523146343;-37.7295635516156;25.8343800477447
ContC_Cingp_1;RH_ContC;26;RH_Cont;12;RH;4.13386170175862;-5.31288845197682;9.92110862540068
DefaultA_IPL_1;DefaultA;28;RH_Default;14;RH;54.9471567948981;-32.8811162461613;13.7972234595670
DefaultA_PFCd_1;DefaultA;28;RH_Default;14;RH;28.4381616475434;47.9073847910216;23.8622908920255
DefaultA_pCunPCC_1;DefaultA;28;RH_Default;14;RH;5.07372928878584;-31.1193935986259;11.2025075566522
DefaultA_PFCm_1;DefaultA;28;RH_Default;14;RH;7.78443586594335;61.3711748214407;-15.6984273765289
DefaultA_PFCm_2;DefaultA;28;RH_Default;14;RH;3.48524007259286;49.3234433612953;-2.64995423413474
DefaultA_PFCm_3;DefaultA;28;RH_Default;14;RH;8.08743988271588;76.7012160107667;-1.90204951547577
DefaultB_Temp_1;DefaultB;30;RH_Default;14;RH;60.7422187542570;-8.82509393901034;-24.4872760994570
DefaultB_AntTemp_1;DefaultB;30;RH_Default;14;RH;46.4746699873804;31.6343290414966;-49.0869703630051
DefaultB_PFCd_1;DefaultB;30;RH_Default;14;RH;15.5418901200112;66.0630912865242;21.2905313896098
